"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"40",42,0.0950133980666839,9998866336.0133,0.0750770491133882,1.42076661023745,0,0,0,0
"41",43,0.111306621906936,0.122567319886224,0.102406108986404,0.0830869029263243,0,0,0,0
"42",44,0.418782936091817,9998936733.19318,0.396089250359808,1.27149537031582,0,0,0,0
"43",45,0.582404101701502,9999100220.98009,0.310327370585298,1093.21885493895,0,0,0,0
"44",46,4.88676879365043,9999687170.23026,4.88677858817161,0,0,0,0,0
"45",48,0.0109854020497988,9999795925.74448,0.188327799024424,1113.81358142287,0,0,0,0
"46",49,5.8811045049607e-05,5.8811045049607e-05,0.00139842085072421,0.0180493173703611,0,0,0,0
"47",50,0.151769920349697,1.59913503462354,0.158787742847487,0.0473757584296912,0,0,0,0
"48",51,0.174729980312372,0.504717578263449,0.165690629137468,0.511316599938685,0,0,0,0
"49",52,0.0921232448409757,9992151458.05467,0.0647470743701945,0.907226804752705,0,0,0,0
"50",53,5.8811045049607e-05,9998553234.02177,0,0,0,0,0,0
"51",54,0.173729518079086,9991818173.13756,0.154147633224565,0.299430509547062,0,0,0,0
"52",55,0.0347877044385794,0.850726707421773,0.0340595670592704,0.765908068728547,0,0,0,0
"53",56,0.199358680680647,0.920549408043681,0.134680252204081,1.07845484080661,0,0,0,0
"54",57,0.0955277596553617,9999133384.72831,0.227301830748246,3095.17895616549,0,0,0,0
"55",58,0.29926104002048,9996850780.28266,0.19279736501637,1.30579122570906,0,0,0,0
"56",59,0.44110989815916,9999772051.06833,0.391292992377576,0.405338423480038,0,0,0,0
"57",60,0.0870806792341169,5.8811045049607e-05,0.0852713464326652,0.0873285859747988,0,0,0,0
"58",61,0.0705823673851813,9998598278.87945,0.104469898526905,0.260358976511104,0,0,0,0
"59",62,0.314888951469478,9999687228.23274,0.24730527414862,725.350853802621,0,0,0,0
"60",63,0.0948153614436951,20.1915400445381,0.0964573610754306,0.0269315301527169,0,0,0,0
"61",64,5.8811045049607e-05,5.8811045049607e-05,0,0.000845917634277041,0,0,0,0
"62",65,1.17662723741571,9999181571.18887,1.17935200784736,0.0759907039164657,0,0,0,0
"63",66,5.8811045049607e-05,1.19365168072799,0.0348432446165434,2.88632799293693,0,0,0,0
"64",67,0.303017702997232,9999630526.34002,0.181214893865744,4178.13066852701,0,0,0,0
"65",68,0.0391778916749243,5.8811045049607e-05,0,0.00075207143302541,0,0,0,0
"66",69,0.076152266651406,5.96144737725442,0.0709685476673642,0.334060003590484,0,0,0,0
"67",70,0.181877550645818,9999451061.08294,0.197738015682896,0.0701604166447984,0,0,0,0
"68",71,5.8811045049607e-05,5.8811045049607e-05,0,0.00066671694345885,0,0,0,0
"69",72,0.0348382419610826,9998776462.56297,0.0359810266194801,0.0409309589475097,0,0,0,0
"70",73,0.140088785299918,9998165163.01847,0.136460832309203,0.49638874640713,0,0,0,0
"71",74,0.548992146612232,9999687083.04966,0.994063664361964,477.75771054044,0,0,0,0
"72",75,5.8811045049607e-05,5.8811045049607e-05,0.00349968956529426,0.036861188621396,0,0,0,0
"73",76,5.8811045049607e-05,1.41074391544432,0,1.4107429418836,0,0,0,0
"74",77,1.05502630328502,9998599822.02535,0.978754329653228,0.706347790241801,0,0,0,0
"75",78,0.316045733961331,9999041656.71513,0.317163442759217,0.413496007061994,0,0,0,0
"76",79,5.8811045049607e-05,5.8811045049607e-05,0,0.000670617407491109,0,0,0,0
"77",80,0.101218262380373,9999465860.68429,0.101971075914382,1.97543906677558,0,0,0,0
"78",81,0.0705462355248141,9999134741.05552,0.0744121926055973,0.058176198701241,0,0,0,0
"79",82,0.000558144747865887,4.62842152489533,0.00222356033381005,0.0112787021101755,0,0,0,0
"80",83,0.377216986950279,9999669592.14833,0.370760830752883,0.260378429269131,0,0,0,0
"81",84,0.630965970395609,9999845086.05085,0.511788185684669,142.023006478782,0,0,0,0
"82",86,0.149294741706799,9999464942.82657,0.150969230181163,0.715631693477469,0,0,0,0
"83",87,0.417549230564299,9999687220.45113,0.408452281161865,0.0650707381845998,0,0,0,0
"84",88,5.8811045049607e-05,5.8811045049607e-05,0.00146469356704016,0.0118597939878193,0,0,0,0
"85",89,0.132990580989212,5.8811045049607e-05,0.178239074295351,11230.2093850135,0,0,0,0
"86",90,9996767201.83311,9986906275.50769,0.154035753521616,39627.2844606491,0,0,0,0
"87",91,0.34647755605802,0.649404935955506,0.0656254364234264,2214.68075579749,0,0,0,0
"88",92,5.8811045049607e-05,9999134492.36711,0,1585310.58751182,0,0,0,0
"89",93,0.029852419931541,5.8811045049607e-05,0.0482649034246112,0.23812017038377,0,0,0,0
"90",94,0.0109984842482424,5.8811045049607e-05,0.0311335621143147,0.540033733885173,0,0,0,0
"91",95,5.8811045049607e-05,5.8811045049607e-05,0,0.000632658247524122,0,0,0,0
"92",96,6.72058671916564,9999795843.1015,6.72058313043911,0,0,0,0,0
"93",97,0.265473538317184,9999795443.88077,0.213341388720691,0.402494417947823,0,0,0,0
"94",98,0.0665971353371834,9998944502.36841,0.0783550890654495,0.883857847098825,0,0,0,0
"95",99,0.15546295273194,9998157365.30682,0.158137304238873,0.0879620338211441,0,0,0,0
