"","V1","V2","V3","V4","V5","V6","V7","V8"
"24",24,12.8027742724904,12.4524177355233,7.53302765196733,7.43284653322866,7.43346112886348,0,0
"25",25,4.3147963064442,4.40880090902001,3.32286990770057,3.24866536215919,3.02024389436406,0,0
"26",26,2.68479802045087,2.22771314249181,2.12601141232599,2.97432115955769,2.11654531671935,0,0
"27",27,14.80520789645,11.125638520862,8.9857905766374,8.93167373953573,8.93163960212111,0,0
"28",28,8.23281469121091,13.7244915837776,8.5854161156761,8.46756896177759,8.46756929253934,0,0
"29",29,17.1878372933862,11.4407002061017,10.9358622479723,10.8596023158498,10.8601297352183,0,0
"30",30,2.26478133978924,2.4027456379108,2.24953120234233,3.50529423846188,2.1413361565162,0,0
"31",32,4.205674100451,7.63057793859172,5.457057097055,5.31904274678169,5.31841913697828,0,0
"32",33,6.57684256696292,6.87547447479306,5.16072445571656,5.17861238583914,5.15480364917052,0,0
"33",34,7.81753926714587,8.91324926029611,8.90358156561636,12.1783338500943,8.83974089856006,0,0
"34",35,0.385713144475062,1.83941619424093,1.79649600040428,3.79794220954171,1.79562382255504,0,0
"35",36,14.56819963293,12.1228240465151,8.98262609743368,8.9152713784787,8.91573078499442,0,0
"36",37,2.11264012967173,3.58200304269728,3.47343744932382,6.24275687321837,3.14510595083189,0,0
"37",38,15.1439712580549,15.273913707121,5.45328019254785,5.42197535919118,5.42196086914265,0,0
"38",39,4.63875607110995,6.01852119538627,3.37450997022792,3.35296121918641,3.35296121918482,0,0
"39",40,0.0174207587529425,0.746914511451813,0.812472133875923,5.32237530907152,0.746914511451214,0,0
"40",42,9.60497151082037,10.4369788895493,9.9189068439517,10.5051775383046,9.91857015140688,0,0
"41",43,3.00136969664635,1.25024113815497,1.26100430008706,1.55943637278526,1.21601299129127,0,0
"42",44,1.30236009093648,2.14563645513961,2.06928511335792,2.98118385323921,1.96892353711141,0,0
"43",45,2.04508390518918,2.85285764811149,2.38434760547675,2.81385120605236,1.96753552517903,0,0
"44",46,0.760430951726031,1.64213528898039,1.64712865545257,6.61010181155248,1.64213551671008,0,0
"45",48,2.11513374485754,2.78118005000931,1.60909291219034,1.45878712150135,1.41562154128659,0,0
"46",49,10.0482649405819,5.36521707665335,4.50895860327726,4.50356141661236,4.49090967355374,0,0
"47",50,3.48486226997757,2.82764260726689,2.97333214144446,4.70802776295969,2.82764260736417,0,0
"48",51,2.18584463283345,2.02577942378768,1.47755969277764,2.0556780065791,1.46763851443338,0,0
"49",52,4.40948428373487,2.77632714810618,1.66713343852578,1.65286028800253,1.65291229847505,0,0
"50",53,5.26020215341305,2.78775545116879,2.91931841560759,3.70168800958578,2.72881894596888,0,0
"51",54,2.55009006982753,2.02044214495119,1.84982198202459,2.98456032062056,1.83899106959765,0,0
"52",55,6.6781186351257,2.99393662919224,2.2302503219357,2.23986713605464,2.22367786414539,0,0
"53",56,3.27552932138445,3.09825688364041,2.80730976562576,2.97075251509896,2.6428612481778,0,0
"54",57,8.1591992470325,8.49782346636943,8.23040363954133,9.44162517592738,8.23026995577742,0,0
"55",58,1.9954407289956,3.20975555875105,2.26068792657028,2.62692388093467,2.13251090376254,0,0
"56",59,1.40895672450429,2.2520816515679,2.13854491520092,2.69826268259803,2.01631223402534,0,0
"57",60,5.75097924167247,4.13776367230281,3.97394658769162,4.26279603692271,3.96607840329187,0,0
"58",61,4.82785129883822,4.09525747188993,3.79770345101926,4.38627287631397,3.74590446955118,0,0
"59",62,3.39054242378657,4.46770628330126,3.84845224489113,4.49561708564408,3.56317264892512,0,0
"60",63,2.41637807469131,1.88908008587063,2.04139144204564,3.47007857451751,1.88908008577924,0,0
"61",64,17.3792813753439,17.4065826963961,15.6782747474756,15.6402520352284,15.6404498850784,0,0
"62",65,6.2738866036885,6.34697882119378,6.3859244763217,10.3505207945133,6.34697882118864,0,0
"63",66,14.1641886885503,15.3657935238497,11.192433221695,11.158163312082,11.1583997513661,0,0
"64",67,2.98645798392562,2.72971979222108,1.77338651562627,2.13097862638748,1.75053399826046,0,0
"65",68,13.3689206586312,9.89344405256979,8.36750891607684,8.33230034389992,8.33247777812428,0,0
"66",69,4.25788350093337,1.77055716010909,1.64508069950772,1.62279221256051,1.62277693372498,0,0
"67",70,2.02739698473667,2.56971809482187,2.50889365633903,3.20693696755922,2.50824119788711,0,0
"68",71,15.6116211015402,13.7379948596584,8.26759082290301,8.22659232361798,8.22656827417551,0,0
"69",72,4.43155389820387,1.68657644713067,1.53893878999868,1.70141637403291,1.46942632090241,0,0
"70",73,3.6008981771694,3.24003565177918,2.57302098164603,2.72974166953175,2.57282679103442,0,0
"71",74,1.90949530833324,4.05221013760939,4.07323655804115,7.78573115669702,4.0402779078931,0,0
"72",75,5.28337137059414,5.46992752611521,3.60937316395402,3.62298774368051,3.59288234594408,0,0
