"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"35",36,5.8811045049607e-05,5.8811045049607e-05,5.8811045049607e-05,0,0.000684391633157387,0,0,0,0
"36",37,1.23315610880651,0.918145197580421,9999999757.72831,0.69496033265378,1063.5008410401,0,0,0,0
"37",38,5.8811045049607e-05,5.8811045049607e-05,5.8811045049607e-05,0,5.55111512312578e-17,0,0,0,0
"38",39,0.738258992641219,5.8811045049607e-05,0.990715630677255,0,0.990703789184835,0,0,0,0
"39",40,0.975050654120956,2.03273747128475,9999795840.06903,0.97504745022878,0,0,0,0,0
"40",42,0.0327026259164621,0.0271971110404545,9996035996.57907,0.029506273606069,0.113501361096835,0,0,0,0
"41",43,0.0260613572059593,0.0413790556927645,5.8811045049607e-05,0.0179424452322152,0.0174769167114702,0,0,0,0
"42",44,0.305047531646187,0.259255769312738,9999179910.8955,0.230673052806905,1.61929132928777,0,0,0,0
"43",45,0.579289935663045,0.0428997181765558,9984306066.32731,0.221671021777239,681.20702321867,0,0,0,0
"44",46,9999502254.25097,9999880577.38247,9999789251.64258,1104453.65237039,0,0,0,0,0
"45",48,5.8811045049607e-05,0.0125793244763722,9998599695.01968,0.0323252275226782,157.990172570888,0,0,0,0
"46",49,5.8811045049607e-05,0.00203991930708138,5.8811045049607e-05,0.000332097682942246,0.0118042922234117,0,0,0,0
"47",50,0.090583229321498,0.150522790219286,5.8811045049607e-05,0.0905854501013268,0,0,0,0,0
"48",51,0.0247542883237943,0.0399900798798433,5.8811045049607e-05,0.0147317171886929,0.0329101744663767,0,0,0,0
"49",52,0.00528625654009999,0.00067941473141254,5.8811045049607e-05,0,0.000398402134544601,0,0,0,0
"50",53,5.8811045049607e-05,0.0401827155317879,0.36791169806019,0.0035206496206855,0.00273112918543764,0,0,0,0
"51",54,0.172200081904784,0.120152300765048,0.138518266170501,0.137929076322872,0.167013059613478,0,0,0,0
"52",55,5.8811045049607e-05,0.00311836227899427,5.8811045049607e-05,0.001265561000952,0.0238470457187652,0,0,0,0
"53",56,0.296109804941106,0.0472124116916569,0.102118587724562,0.134321505217344,0.713555865619629,0,0,0,0
"54",57,0.0394623011844902,0.074930676960879,9995333099.72149,0.0782567968042712,0.108484104419218,0,0,0,0
"55",58,0.482751587116788,0.0252264803634305,1.45235354198163,0.105058060950461,0.792607076467287,0,0,0,0
"56",59,0.349392327387086,0.271430454831353,9999282928.38224,0.224181202190448,3.82590903153727,0,0,0,0
"57",60,0.0435391636936823,0.0504084237857404,5.8811045049607e-05,0.0349099282021364,0.0551079693237465,0,0,0,0
"58",61,5.8811045049607e-05,0.0301933497149827,9994059743.51529,0.00486350724112677,0.00986650042562683,0,0,0,0
"59",62,0.195089616370316,0.0522291948672056,9999135587.88969,0.151437177120083,2.59300477941616,0,0,0,0
"60",63,0.132106391190298,0.209371618157679,1.0501297047867,0.132112446203306,0,0,0,0,0
"61",64,5.8811045049607e-05,5.8811045049607e-05,5.8811045049607e-05,0,0.000548604582387416,0,0,0,0
"62",65,0.514107345063792,0.676937585791703,9997712305.02299,0.514111367754968,0,0,0,0,0
"63",66,5.8811045049607e-05,5.8811045049607e-05,5.8811045049607e-05,0,0.000723445077237156,0,0,0,0
"64",67,0.0659085981005506,0.0246746497844885,9998606231.10955,0.0563850646796928,0.338108013702665,0,0,0,0
"65",68,5.8811045049607e-05,5.8811045049607e-05,5.8811045049607e-05,0,0.000524406116852309,0,0,0,0
"66",69,5.8811045049607e-05,0.00169708537730312,5.8811045049607e-05,0,2.77555756156289e-17,0,0,0,0
"67",70,0.0737963723715784,0.0905949202588334,9998552429.52985,0.0870434434012693,0.0811800028655751,0,0,0,0
"68",71,5.8811045049607e-05,5.8811045049607e-05,5.8811045049607e-05,0,-2.77555756156289e-17,0,0,0,0
"69",72,5.8811045049607e-05,0.0221685617985145,7.42048273907818,0.00170518318714553,0.00357188468864459,0,0,0,0
"70",73,0.0154890351417366,0.015174543871538,5.8811045049607e-05,0.0170621346631032,0.116584445750834,0,0,0,0
"71",74,0.329939453744253,0.477644291530404,9999494075.4861,0.269802066497985,0.0247818273907038,0,0,0,0
